# SwiftEEG raw counts,rate=1000,gain=24,lsb_uv=0.022351742
ts_us,seq,ch1_C4,ch2_P4,ch3_F4,ch4_Oz,ch5_AFz,ch6_F3,ch7_C3,ch8_P3
2103320490,2045624,-4542141,3995295,-5083305,3739848,-6160937,-7434654,-6792820,-6952223
2103320491,2045625,-4543316,3996976,-5084082,3741159,-6161817,-7435588,-6797990,-6955032
2103320492,2045626,-4544754,3998959,-5085039,3741624,-6162959,-7436634,-6802892,-6957979
2103320493,2045627,-4546522,4001431,-5086252,3741822,-6164566,-7437841,-6807729,-6961179
2103320494,2045628,-4549656,4005844,-5088439,3743106,-6167639,-7439536,-6813064,-6965598
2103320495,2045629,-4554502,4011508,-5091839,3735923,-6172109,-7441693,-6817311,-6970606
2103320496,2045630,-4558944,4013754,-5094832,3700337,-6175675,-7442578,-6811646,-6970022
2103320497,2045631,-4561883,4015583,-5096861,3683671,-6178046,-7442879,-6803752,-6968039
2103320498,2045632,-4563269,4017040,-5097935,3682273,-6179412,-7443143,-6799276,-6967286
2103320499,2045633,-4563849,4017420,-5098469,3680208,-6180049,-7443249,-6795679,-6966414
2103320500,2045634,-4563425,4016518,-5098195,3678024,-6179643,-7442777,-6792053,-6964847
2103320501,2045635,-4562462,4014873,-5097544,3676094,-6178602,-7442084,-6788479,-6962868
2103320502,2045636,-4561124,4012806,-5096626,3675195,-6177148,-7441142,-6784808,-6960483
2103320503,2045637,-4559359,4010281,-5095357,3674956,-6175347,-7439954,-6780944,-6957641
2103320504,2045638,-4556109,4005928,-5092985,3673784,-6172356,-7438231,-6776408,-6953389
2103320505,2045639,-4551353,3999749,-5089546,3670448,-6168052,-7435956,-6770935,-6947390
2103320506,2045640,-4546761,3994316,-5086425,3673481,-6163719,-7433616,-6765849,-6941534
2103320507,2045641,-4544043,3993902,-5084612,3705646,-6161496,-7433046,-6769596,-6941782
2103320508,2045642,-4542914,3995462,-5083836,3735701,-6160831,-7433636,-6779932,-6946342
2103320509,2045643,-4542619,3995663,-5083531,3739862,-6160492,-7433993,-6786664,-6949027
2103320510,2045644,-4543069,3996484,-5083731,3741310,-6160683,-7434524,-6792051,-6951456
2103320511,2045645,-4544220,3998141,-5084486,3742526,-6161549,-7435437,-6797203,-6954246
2103320512,2045646,-4545655,4000117,-5085439,3743041,-6162690,-7436485,-6802109,-6957194
2103320513,2045647,-4547330,4002494,-5086576,3743324,-6164197,-7437616,-6806876,-6960309
2103320514,2045648,-4550552,4006981,-5088861,3744607,-6167361,-7439416,-6812319,-6964810
2103320515,2045649,-4555436,4012747,-5092303,3737993,-6171891,-7441638,-6816751,-6969937
2103320516,2045650,-4559918,4015089,-5095319,3702874,-6175507,-7442592,-6811340,-6969514
2103320517,2045651,-4563041,4017031,-5097521,3685470,-6178045,-7443041,-6803498,-6967624
2103320518,2045652,-4564359,4018418,-5098526,3683949,-6179327,-7443207,-6798894,-6966770
2103320519,2045653,-4564749,4018618,-5098867,3681958,-6179772,-7443112,-6795086,-6965704
2103320520,2045654,-4564524,4017939,-5098791,3679862,-6179571,-7442826,-6791621,-6964336
2103320521,2045655,-4563469,4016200,-5098054,3678035,-6178436,-7442022,-6787946,-6962258
2103320522,2045656,-4562210,4014217,-5097200,3677192,-6177071,-7441153,-6784355,-6959952
